Vertices,Density,CSR w/o MKL,CSR w/ MKL
65536,0.5,8712.2,1879.4
65536,0.6,9763.5,2242.1
65536,0.7,10610.4,2620.4
65536,0.8,12752.8,2974.7
65536,0.9,18620.2,3351.5
65536,1,20795.2,3748.6
65536,1.1,21900.3,4100.8
65536,1.2,23081.1,4468.6
65536,1.3,23645.1,4793.2
65536,1.4,25251.1,5228.8
65536,1.5,27041,5566.5
65536,1.6,28485.2,5980.9
65536,1.7,30142.7,6330.2
65536,1.8,32776.4,6716
65536,1.9,34705.7,7081.1
65536,2,38118.7,7419.1
65536,2.1,39264.9,7765.2
65536,2.2,43471.3,8161.8
65536,2.3,44970.3,8461.5
65536,2.4,44790.6,8886.1
65536,2.5,49596.7,9293.4
65536,2.6,49074.6,9529.6
65536,2.7,54566.6,9910.9
65536,2.8,57390,10472.8
65536,2.9,58045.1,10764.9
65536,3,60028.8,11132.6
131072,0.1,6982.4,1531.8
131072,0.2,12277.8,3058.8
131072,0.3,18434.7,4670.9
131072,0.4,24466.1,6133.8
131072,0.5,39080.3,7612.6
131072,0.6,44594.6,9157.2
131072,0.7,49727.6,10671.2
131072,0.8,56869.8,12140.1
131072,0.9,64313.1,13715.9
131072,1,81950.9,15926.2
131072,1.1,90145.6,16464.7
131072,1.2,93112.7,17950
131072,1.3,102615,19379.8
131072,1.4,112980,20837.7
131072,1.5,119353,22249.3
131072,1.6,117228,23845.5
131072,1.7,138846,25494.3
131072,1.8,148792,26712.3
131072,1.9,154476,28086
131072,2,157518,29551.5
131072,2.1,165803,31138.3
131072,2.2,174799,32364.4
131072,2.3,185050,33833
131072,2.4,176782,35456.2
131072,2.5,210191,36814.7
131072,2.6,213301,38150.4
131072,2.7,225589,39815.5
131072,2.8,228895,41150.4
131072,2.9,248604,43145.8
131072,3,251122,44121.8
