Vertices, Density, CSR w/o MKL, CSR w/ MKL 
16384, 2.4, 23830.8, 1331.2
16384, 2.5, 23916.9, 1534.5
16384, 2.6, 24084.9, 1241.9
16384, 2.7, 24207, 1328.4
16384, 2.8, 22949.5, 1246
16384, 2.9, 24059.3, 1337.2
16384, 3, 24082.3, 1346
32768, 0.1, 24229.9, 1441.5
32768, 0.2, 24393.2, 3844.2
32768, 0.3, 23075.5, 1442.1
32768, 0.4, 24512.8, 1352.7
32768, 0.5, 24343.9, 1346.8
32768, 0.6, 16906.7, 57.6
32768, 0.7, 5259.6, 56
32768, 0.8, 4885, 57.9
32768, 0.9, 4892.1, 59.8
32768, 1, 356.5, 88.3
32768, 1.1, 1595.7, 88.4
32768, 1.2, 286.1, 86.1
32768, 1.3, 286.8, 87.3
32768, 1.4, 287, 99.5
32768, 1.5, 286.2, 101.9
32768, 1.6, 1379.5, 72.4
32768, 1.7, 285.5, 88.3
32768, 1.8, 284.6, 88.7
32768, 1.9, 284.3, 86.8
32768, 2, 285.1, 92.1
32768, 2.1, 347.4, 91.8
32768, 2.2, 284.6, 91.4
32768, 2.3, 479.3, 92.5
32768, 2.4, 288.4, 94.1
32768, 2.5, 330, 94.9
32768, 2.6, 286.3, 91.1
32768, 2.7, 287.2, 91.7
32768, 2.8, 289.3, 90.5
32768, 2.9, 287.3, 91.4
32768, 3, 669.5, 92.9
