Vertices,Density,MyImplementation,CI w 0.95,BW,CI w 0.95,ARMPL,CI w 0.95,BW,CI w 0.95
16384,1.2,381.511,0.349554,3.37455e+07,30323.3,317.09,0.317066,4.06016e+07,40064
16384,1.3,408.072,0.671056,3.4146e+07,53471.8,359.742,0.946891,3.87371e+07,93387.9
16384,1.4,445.707,0.456872,3.36391e+07,33916.9,398.496,0.366343,3.76242e+07,33976.9
16384,1.5,474.081,0.427592,3.38587e+07,30036.5,433.509,0.65683,3.70288e+07,53858.7
16384,1.6,504.922,0.832921,3.38869e+07,53331.8,495.314,0.783963,3.45441e+07,54574.5
16384,1.7,534.029,0.634516,3.40182e+07,39376.9,493.672,5.95775,3.72638e+07,82316.9
16384,1.8,562.994,0.547638,3.41393e+07,32545.7,514.485,1.08417,3.73612e+07,72575.1
16384,1.9,600.335,8.46575,3.41772e+07,86000.6,555.106,0.471565,3.65196e+07,30772.6
16384,2,631.468,9.26391,3.41967e+07,92810.1,580.493,1.22387,3.67441e+07,71060.4
16384,2.1,659.954,9.9896,3.43423e+07,100602,595.012,0.779849,3.76086e+07,47510
16384,2.2,689.635,10.875,3.4424e+07,107551,651.738,0.456568,3.59509e+07,24963.5
16384,2.3,718.74,11.8326,3.45271e+07,116653,679.958,1.29249,3.60067e+07,64411.2
16384,2.4,735.917,1.26097,3.46903e+07,55526.4,717.091,11.8066,3.60857e+07,121457
16384,2.5,777.041,14.6082,3.45905e+07,170606,725.823,0.761839,3.66181e+07,37159
16384,2.6,793.717,1.34214,3.48061e+07,55511.5,754.457,0.757432,3.66158e+07,36081
16384,2.7,823.103,1.39689,3.48309e+07,55809.9,797.437,15.5579,3.63663e+07,189262
16384,2.8,864.019,14.5138,3.47951e+07,140976,823.628,1.29434,3.60795e+07,53122.5
16384,2.9,879.198,1.31518,3.49857e+07,49641.8,859.956,17.8485,3.62054e+07,216272
16384,3,921.651,15.3948,3.49017e+07,162698,870.931,0.537828,3.65114e+07,22279.8
32768,0.1,168.301,0.154749,2.62868e+07,23946.9,133.809,0.106609,3.30627e+07,26256.2
32768,0.2,282.803,0.189526,3.08075e+07,20483.1,217.417,0.321199,4.00742e+07,57092.5
32768,0.3,405.027,1.31515,3.20946e+07,91716.6,319.36,0.242408,4.0695e+07,30867.4
32768,0.4,532.049,0.455278,3.24719e+07,27404.1,589.934,11.2012,2.97208e+07,112469
32768,0.5,652.98,1.23297,3.3009e+07,57824.4,823.598,0.421941,2.61688e+07,13354.8
32768,0.6,785.99,15.0798,3.32434e+07,170109,872.953,14.4759,2.99227e+07,115353
32768,0.7,893.679,1.42883,3.36728e+07,51304.8,1067.96,16.5461,2.83539e+07,171590
32768,0.8,1018.61,1.80247,3.37283e+07,56883.7,1089.9,27.7314,3.19662e+07,270326
32768,0.9,1137.95,1.31318,3.39321e+07,37579.8,1169.86,19.771,3.32248e+07,231767
32768,1,1276.24,23.3336,3.38221e+07,269055,1358.78,27.7464,3.18711e+07,207925
32768,1.1,1385.27,1.40009,3.40135e+07,33270.3,1541.88,33.1661,3.07975e+07,331228
32768,1.2,1518.56,4.7034,3.38311e+07,95790.9,1635.58,37.2405,3.16464e+07,357850
32768,1.3,1666.84,38.6693,3.36217e+07,391566,1740.6,33.1223,3.21406e+07,231969
32768,1.4,1794.29,44.5335,3.36205e+07,434852,1772.9,44.0574,3.40244e+07,436579
32768,1.5,1917.01,44.0791,3.36623e+07,415137,1898.14,38.3682,3.3969e+07,271607
32768,1.6,2034.9,44.0076,3.37821e+07,402357,2097,46.3521,3.27863e+07,304958
32768,1.7,2154.78,44.3251,3.38606e+07,394157,2102.28,64.5916,3.495e+07,456626
32768,1.8,2263.38,44.2212,3.40939e+07,383636,2170.96,50.3481,3.559e+07,356014
32768,1.9,2372.2,58.0262,3.43675e+07,375355,3265.57,553.756,3.38202e+07,1.08772e+06
32768,2,2487.55,48.5484,3.45019e+07,316868,2375.01,53.1511,3.62574e+07,378316
32768,2.1,2586.35,58.3146,3.47706e+07,371306,2499.85,56.4141,3.59739e+07,384238
32768,2.2,2689.97,43.8274,3.49351e+07,351858,2595.85,57.4217,3.62688e+07,388986
32768,2.3,2825.39,43.7703,3.47426e+07,341425,2728.66,55.8476,3.60264e+07,366973
32768,2.4,2931.91,71.0407,3.50752e+07,481348,2817.5,55.571,3.63789e+07,368193
32768,2.5,3020.37,43.4252,3.527e+07,325467,2893.1,66.0152,3.69981e+07,435058
32768,2.6,3177.41,78.2406,3.50281e+07,466066,2971.83,70.478,3.74444e+07,467373
32768,2.7,3280.38,80.8099,3.52087e+07,469978,3085,54.8306,3.72882e+07,356599
32768,2.8,3393.33,79.5587,3.52569e+07,458217,3161.08,54.7716,3.77108e+07,352169
32768,2.9,3530.53,70.9058,3.50256e+07,428425,3247.56,54.6834,3.7992e+07,350194
32768,3,3603.19,71.2927,3.54774e+07,430552,3397.77,77.5962,3.76735e+07,482134
65536,0.1,638.096,14.3056,2.75043e+07,263321,623.344,5.98105,2.80128e+07,186594
65536,0.2,1098.81,1.71008,3.14789e+07,47238.5,1500.77,31.0885,2.3273e+07,193917
65536,0.3,1636.96,41.1115,3.1966e+07,298434,2205.64,53.0238,2.36136e+07,250366
65536,0.4,2186.7,43.5209,3.16611e+07,358371,2453.33,56.7684,2.82392e+07,305726
65536,0.5,2755.87,65.3004,3.14549e+07,411271,2813.35,57.2795,3.07099e+07,311909
65536,0.6,3314.26,71.3186,3.13027e+07,400382,3281.79,57.2964,3.1525e+07,295746
65536,0.7,3855.32,81.3208,3.13554e+07,383600,3830.74,80.8128,3.15567e+07,386038
65536,0.8,4395.13,80.1524,3.13672e+07,351862,4331.07,80.016,3.18357e+07,362427
65536,0.9,4930.72,79.8755,3.1404e+07,328147,4614.58,75.9892,3.35597e+07,355217
65536,1,5451.79,99.0249,3.15778e+07,381976,4952.77,91.3774,3.47668e+07,431434
65536,1.1,5935.05,95.8041,3.18557e+07,357267,5435.25,97.1832,3.48145e+07,417726
65536,1.2,6389.17,90.4021,3.22322e+07,330901,5801.6,96.3655,3.55366e+07,405549
65536,1.3,6824.51,97.1704,3.26726e+07,334500,6117.11,95.2828,3.6473e+07,397379
65536,1.4,7259.17,97.1245,3.30469e+07,323032,6593.27,93.9949,3.63986e+07,372843
65536,1.5,7859.13,80.6609,3.30709e+07,151941,6998.92,86.9962,3.66889e+07,341447
65536,1.6,8139.98,111.919,3.36536e+07,350066,7391.58,104.705,3.70683e+07,394550
65536,1.7,8582.17,114.266,3.38886e+07,343618,7779.65,96.1982,3.73693e+07,360166
65536,1.8,9028.01,105.306,3.40678e+07,313536,8197.65,101.828,3.75302e+07,361233
65536,1.9,9531.73,123.354,3.40632e+07,348075,8606.59,98.4628,3.7697e+07,339896
65536,2,10013,108.873,3.40809e+07,295867,8851.93,97.6504,3.85535e+07,337742
65536,2.1,10526,116.465,3.40281e+07,307552,9488.32,92.2905,3.77297e+07,306833
65536,2.2,11021.5,134.965,3.40469e+07,340188,9914.82,101.246,3.78126e+07,318793
65536,2.3,11841.5,216.378,3.36839e+07,260551,10270.5,98.7423,3.81334e+07,305837
65536,2.4,11981.4,131.775,3.41112e+07,312092,10835.2,109.916,3.77063e+07,321678
65536,2.5,12411.7,125.274,3.42703e+07,292002,11126.8,85.1213,3.8194e+07,253008
65536,2.6,12903.6,133.067,3.4267e+07,296582,11398.2,98.3601,3.8768e+07,288570
65536,2.7,13409.6,137.582,3.4225e+07,299521,11960.4,101.359,3.83453e+07,281369
65536,2.8,13818.7,138.208,3.44201e+07,294784,12363.5,90.3482,3.84343e+07,248587
65536,2.9,14275.8,143.947,3.44917e+07,297177,12715.6,102.536,3.86942e+07,271178
65536,3,14688.3,142.244,3.46554e+07,288646,13227.7,106.062,3.84579e+07,268233
131072,0.1,3032.97,57.4062,2.29259e+07,224727,2870.46,56.5838,2.4231e+07,242238
131072,0.2,4522.66,70.681,3.05993e+07,317952,5596.78,93.3286,2.47449e+07,282985
131072,0.3,6734.01,89.8359,3.07476e+07,302277,7919.3,107.113,2.61508e+07,268362
131072,0.4,9031.24,121.152,3.05415e+07,320693,10023.5,108.649,2.74873e+07,244513
131072,0.5,11204.4,126.683,3.07181e+07,287752,11403.6,127.235,3.01796e+07,279038
131072,0.6,13283.9,125.087,3.10443e+07,249335,12973.8,135.875,3.18006e+07,283044
131072,0.7,15363.3,135.588,3.12887e+07,240606,14220.9,137.644,3.3813e+07,281418
131072,0.8,17394.1,139.193,3.15554e+07,225023,15497.1,146.358,3.54367e+07,291952
131072,0.9,19354.7,150.991,3.18828e+07,225096,17150.2,145.656,3.59889e+07,270101
131072,1,21242.8,177.014,3.22641e+07,243347,17068.4,144.355,4.01553e+07,300261
131072,1.1,23235.6,184.773,3.24239e+07,234569,17351.2,147.535,4.34278e+07,329547
131072,1.2,25421,185.973,3.23062e+07,217743,20090.9,127.25,4.08643e+07,238604
131072,1.3,26248.6,421.288,3.422e+07,332826,22330.3,164.6,3.98211e+07,268848
131072,1.4,27016.6,184.857,3.54204e+07,225409,23888.5,163.471,4.00585e+07,253780
131072,1.5,29065,194.121,3.52554e+07,220206,25446.2,165.536,4.0267e+07,244083
131072,1.6,31987.5,178.941,3.41414e+07,180503,25968.3,162.235,4.20624e+07,245819
131072,1.7,33691.6,189.016,3.44227e+07,184054,28581.7,144.408,4.0571e+07,194459
131072,1.8,35755.6,195.314,3.43243e+07,178972,29871.8,140.573,4.10775e+07,183945
131072,1.9,37355.7,196.786,3.46595e+07,175014,31547.6,127.828,4.10294e+07,159863
131072,2,38943,197.751,3.4977e+07,170582,33514.9,141.749,4.06342e+07,165362
131072,2.1,40540.1,211.529,3.52625e+07,177020,27860.9,146.114,5.13097e+07,253906
131072,2.2,42085.8,208.113,3.55642e+07,169292,28222,154.904,5.30416e+07,275914
131072,2.3,43674.3,199.827,3.58064e+07,158198,29429.6,595.542,5.37342e+07,741737
131072,2.4,45390.6,236.769,3.59375e+07,181161,29147.4,170.747,5.59732e+07,308687
131072,2.5,48279.9,1070.58,3.54669e+07,565294,34814.1,154.521,4.87739e+07,208495
131072,2.6,48220.6,225.383,3.66051e+07,165788,42569,109.542,4.14496e+07,103916
131072,2.7,49924.2,227.312,3.66967e+07,162416,43990.5,92.913,4.16299e+07,85552.6
131072,2.8,51686.7,247.067,3.67414e+07,170804,45544.7,99.9889,4.1678e+07,89886.8
131072,2.9,53549.1,243.575,3.67098e+07,162847,47256.1,84.3396,4.15805e+07,73107.7
131072,3,55319.5,260.803,3.67431e+07,169111,49967.1,695.436,4.08216e+07,471408
