Vertices, CSR w/o MKL, CSR w/ MKL 
1024, 25.6, 877.2
2048, 54.9, 110.4
4096, 98.5, 28.8
8192, 182.9, 52.3
16384, 331.2, 70.7
32768, 768.7, 122.8
