Vertices, CSR w/o MKL, CSR w/ MKL 
1024, 37.7, 26488.5
2048, 55.2, 24505.1
4096, 110.9, 24097.8
8192, 190.5, 76.3
16384, 375.9, 49.8
32768, 784.4, 135.4
