Vertices,Density,MyImplementation,CI w 0.95,BW,CI w 0.95
8192,0.4,40.5392,0.0941613,2.72489e+07,62689.6
8192,0.5,42.9258,0.110715,3.1961e+07,79473.9
8192,0.6,45.2026,0.106621,3.62526e+07,83163.3
8192,0.7,47.478,0.0942797,4.01286e+07,77413.4
8192,0.8,50.2884,0.10828,4.31817e+07,89983.8
8192,0.9,52.8192,0.100142,4.61579e+07,85871.3
8192,1,55.4968,0.110061,4.8722e+07,94436.1
8192,1.1,57.8543,0.0994721,5.13255e+07,86681.4
8192,1.2,60.2244,0.160808,5.3721e+07,135799
8192,1.3,63.1083,0.267178,5.54801e+07,205945
8192,1.4,65.3927,0.134607,5.75746e+07,114836
8192,1.5,67.6738,0.134078,5.95422e+07,113529
8192,1.6,70.1021,0.120908,6.12511e+07,103296
8192,1.7,72.3169,0.107446,6.30254e+07,92069.8
8192,1.8,74.7523,0.104575,6.45074e+07,88807.2
8192,1.9,76.7435,0.120949,6.6268e+07,102284
8192,2,78.8616,0.108122,6.7815e+07,91632.4
8192,2.1,81.8959,0.150172,6.85371e+07,122592
8192,2.2,83.8325,0.15201,7.00868e+07,124305
8192,2.3,86.5981,0.130142,7.08602e+07,104425
8192,2.4,90.2516,0.145019,7.09032e+07,111164
8192,2.5,94.4985,0.129242,7.04921e+07,94996.3
8192,2.6,95.2097,0.139987,7.27084e+07,105112
8192,2.7,101.135,0.151317,7.10301e+07,104501
8192,2.8,102.735,0.185132,7.24682e+07,127940
8192,2.9,108.643,0.272387,7.09439e+07,177095
8192,3,135.545,0.340152,5.87801e+07,142937
16384,0.1,54.3429,0.13804,2.09581e+07,51219.5
16384,0.2,73.5415,0.149661,3.00646e+07,58533.3
16384,0.3,89.9738,0.141783,3.64767e+07,56245
16384,0.4,109.767,0.124168,3.9648e+07,44298.4
16384,0.5,148.103,5.17075,4.19392e+07,55568.8
16384,0.6,147.907,0.222601,4.38712e+07,64251.3
16384,0.7,171.134,0.177662,4.41512e+07,45338.3
16384,0.8,214.582,1.53605,4.0734e+07,33681
16384,0.9,292.503,0.416823,3.31169e+07,47635.7
16384,1,394.614,6.69885,2.73966e+07,168589
16384,1.1,463.812,6.4543,2.58624e+07,80638.3
16384,1.2,472.289,1.08249,2.72596e+07,57025.3
16384,1.3,528.004,0.774478,2.63916e+07,36607.7
16384,1.4,567.476,0.885363,2.64245e+07,38621.3
16384,1.5,614.325,0.969444,2.61303e+07,38727.4
16384,1.6,656.178,0.825745,2.60721e+07,31265.8
16384,1.7,692.813,1.41664,2.62213e+07,49799.8
16384,1.8,737.549,9.90655,2.63871e+07,98770.8
16384,1.9,768.037,1.1502,2.63963e+07,37179.4
16384,2,803.975,0.45033,2.6525e+07,14681.1
16384,2.1,823.585,13.5987,2.74743e+07,152494
16384,2.2,892.01,12.7143,2.66001e+07,115700
16384,2.3,925.417,5.14973,2.64688e+07,116080
16384,2.4,947.186,0.372351,2.69526e+07,10540.8
16384,2.5,998.895,15.6267,2.69085e+07,139175
16384,2.6,1027.22,0.76958,2.6894e+07,19711.5
16384,2.7,1075.84,0.69223,2.66511e+07,16863.7
16384,2.8,1112.49,0.55393,2.67089e+07,13164.6
16384,2.9,1147.08,0.363171,2.68136e+07,8474.57
16384,3,1183.12,5.19825,2.68884e+07,97285.9
32768,0.1,136.447,0.120259,3.24225e+07,28277.9
32768,0.2,270.425,0.543223,3.22207e+07,61521.4
32768,0.3,526.454,7.13468,2.49963e+07,82920.9
32768,0.4,664.224,1.50816,2.60126e+07,54929.2
32768,0.5,841.763,14.2364,2.58877e+07,147663
32768,0.6,1009.06,19.6466,2.59019e+07,191388
32768,0.7,1160.59,26.1066,2.62709e+07,245534
32768,0.8,1317.12,24.0264,2.62664e+07,211066
32768,0.9,1468.97,29.7796,2.6482e+07,252443
32768,1,1635.48,36.4188,2.64139e+07,291479
