Vertices,Density,SVE,SVE_BW,ARMPL,ARMPL_BW
4096,2,0.0550083,2.50549e+16,0.0650169,2.1198e+16
4096,2.1,0.0540984,2.66841e+16,0.0655631,2.2018e+16
4096,2.2,0.0539394,2.79829e+16,0.066805,2.25938e+16
4096,2.3,0.0550442,2.86207e+16,0.0677319,2.32593e+16
4096,2.4,0.0552805,2.96797e+16,0.0690128,2.3774e+16
4096,2.5,0.0551925,3.09169e+16,0.0693746,2.45967e+16
4096,2.6,0.0552384,3.20636e+16,0.0711137,2.49058e+16
4096,2.7,0.0559669,3.28202e+16,0.0724786,2.53433e+16
4096,2.8,0.0555693,3.42237e+16,0.0740348,2.56878e+16
4096,2.9,0.0557043,3.53094e+16,0.075911,2.59105e+16
4096,3,0.0562795,3.61016e+16,0.0774792,2.62236e+16
8192,0.1,0.0535476,6.84676e+15,0.0620413,5.90942e+15
8192,0.2,0.0580942,1.09247e+16,0.0551774,1.15023e+16
8192,0.3,0.0537865,1.67757e+16,0.0588299,1.53376e+16
8192,0.4,0.0585917,1.99668e+16,0.0643213,1.81882e+16
8192,0.5,0.0578598,2.48385e+16,0.0692916,2.07406e+16
8192,0.6,0.0619475,2.7509e+16,0.0750995,2.26915e+16
8192,0.7,0.0616872,3.1949e+16,0.0795601,2.47717e+16
8192,0.8,0.0651656,3.43278e+16,0.0834904,2.67934e+16
8192,0.9,0.064112,3.90507e+16,0.0879594,2.84634e+16
8192,1,0.0676682,4.09214e+16,0.0928205,2.98326e+16
8192,1.1,0.0679547,4.46574e+16,0.0962822,3.15186e+16
8192,1.2,0.0693113,4.76088e+16,0.0995274,3.3155e+16
8192,1.3,0.0700019,5.09323e+16,0.104373,3.41599e+16
8192,1.4,0.0727741,5.26317e+16,0.142298,2.6917e+16
8192,1.5,0.073081,5.6029e+16,0.117165,3.49477e+16
8192,1.6,0.0749022,5.82016e+16,0.122911,3.54682e+16
8192,1.7,0.0755983,6.11578e+16,0.127522,3.6256e+16
8192,1.8,0.0757811,6.44828e+16,0.132848,3.67831e+16
8192,1.9,0.0788801,6.52877e+16,0.135005,3.8146e+16
8192,2,0.0810501,6.67927e+16,0.141326,3.83055e+16
8192,2.1,0.0860028,6.60083e+16,0.145175,3.91039e+16
8192,2.2,0.0837609,7.09059e+16,0.14954,3.97161e+16
8192,2.3,0.0851061,7.28718e+16,0.151284,4.09947e+16
8192,2.4,0.0863103,7.49037e+16,0.159916,4.04273e+16
8192,2.5,0.0883937,7.60925e+16,0.163809,4.10607e+16
8192,2.6,0.0892551,7.82801e+16,0.168754,4.14029e+16
8192,2.7,0.0911219,7.95517e+16,0.172619,4.19937e+16
8192,2.8,0.0931569,8.06299e+16,0.17622,4.26242e+16
8192,2.9,0.0946088,8.21368e+16,0.176242,4.40921e+16
8192,3,0.0984471,8.1589e+16,0.183448,4.37846e+16
